the cougars	bn:01345595n
imprisonment	bn:14371710n,bn:15706316n,bn:02655536n,bn:00064468n,bn:00015771n,bn:00046183n,bn:00046182n
jail term	
prison term	bn:00064472n
trial	bn:00078199n,bn:00078198n,bn:00068548n,bn:00810433n,bn:00016403n,bn:01022485n,bn:15890932n,bn:00058290n,bn:00078200n,bn:00058292n,bn:00568102n,bn:00076647n,bn:00000100n,bn:01973014n,bn:00076648n,bn:02850688n
prison sentence	bn:00021628n
marquez	bn:00564983n,bn:01273417n
fuentes	bn:16469956n,bn:02231029n,bn:00016111n
participation	bn:00030844n,bn:03243900n,bn:00617343n,bn:00047388n
play an important role	
may play a role	
role	bn:15978658n,bn:10870904n,bn:00077930n,bn:00036823n,bn:00068130n,bn:00036822n,bn:00149063n,bn:00017749n,bn:00017746n
played an important role	
the lead role	
membership	bn:00054281n,bn:00054282n
participant	bn:00060798n,bn:00060799n,bn:00007018n
result	bn:00034520n,bn:00067406n,bn:00212199n,bn:15039545n,bn:00021961n,bn:00004452n,bn:02084765n
inclusion	bn:01811536n,bn:00073194n,bn:00021433n,bn:03188141n,bn:03834713n,bn:15853787n,bn:00046310n,bn:00074971n,bn:02678484n,bn:00046309n,bn:03889506n,bn:03270788n,bn:00017049n,bn:01984698n,bn:03618231n
involvement	bn:00030844n,bn:01649875n,bn:00047077n,bn:00047387n,bn:00047388n,bn:00001735n
play a major role	
play a part	
interest	bn:00047080n,bn:00047081n,bn:00007020n,bn:00047082n,bn:00047083n,bn:00021556n,bn:00047077n,bn:00047078n,bn:00047079n,bn:15415647n
played a leading role	
complicity	bn:03106451n,bn:01344256n,bn:00021390n
took part	
takes part	
plays a role	
played a role	
factor	bn:02655424n,bn:02103696n,bn:00027935n,bn:00001975n,bn:00046695n,bn:00019262n,bn:00598674n,bn:02959091n,bn:03234316n,bn:02880701n,bn:03781656n,bn:02303819n,bn:00032661n,bn:00032662n,bn:00032674n,bn:00021394n,bn:00032663n
taking part	
denied any involvement	
suspected of involvement	
active participation	
played a part	
played a key role	
play a key role	
get involved	bn:16215345n
play a role	
played a major role	
leading role	bn:00251470n
important role	
take part	
plays an important role	
instrumental	bn:15657476n,bn:00046973n
taken part	
also took part	
assist	bn:03849888n,bn:00002155n,bn:00117900n,bn:16977165n,bn:00006522n,bn:03243565n,bn:03628500n,bn:00301050n
played a significant role	
mike shanahan	bn:00372184n,bn:14571104n
reeves	bn:00284517n,bn:02615934n
bill belichick	bn:03493938n
carroll	bn:00016268n,bn:00478680n,bn:00912132n,bn:00402651n,bn:00407022n,bn:00253589n
bill parcells	bn:02400737n
coughlin	bn:03476409n
jimmy johnson	bn:01096850n,bn:00992633n,bn:03119177n,bn:02098629n,bn:02634018n,bn:00435604n,bn:01792603n,bn:01402049n
dan reeves	bn:15893753n,bn:00529808n
the butter	
the sugar	
livan hernandez	bn:03870257n
lackey	bn:00035444n,bn:03472588n,bn:00456180n,bn:00006454n
a.j. burnett	bn:01463505n
roger clemens	bn:01963521n
tom glavine	bn:03123253n
cc sabathia	bn:00791546n
bartolo colon	bn:00951725n
zambrano	bn:02963233n,bn:00124493n
cone	bn:00021692n,bn:00021691n,bn:00592827n,bn:00021690n,bn:00718798n,bn:03625310n,bn:03658645n,bn:01212023n,bn:01996182n,bn:00545460n,bn:00150278n,bn:00021693n
derek lowe	bn:02163685n,bn:03117431n
kevin brown	bn:01988265n,bn:02399517n,bn:01988278n,bn:02295750n,bn:03168533n,bn:01326119n,bn:03737426n,bn:02663357n,bn:03723056n,bn:16564548n,bn:00297730n
jarrod washburn	bn:01880506n
nomo	bn:00595155n
pedro martinez	bn:01962418n,bn:01807322n,bn:01410587n,bn:01313125n,bn:03280275n
wakefield	bn:01924048n,bn:03367649n,bn:03033422n,bn:01061380n,bn:02264570n,bn:00708556n,bn:00738670n,bn:03479426n,bn:00724139n,bn:03599948n,bn:00272356n,bn:15962830n,bn:00543105n,bn:00724221n
c.c. sabathia	bn:00791546n
lester	bn:00266818n,bn:03383874n,bn:00590596n,bn:00167728n
johan santana	bn:03592030n
carlos zambrano	bn:15228746n,bn:03478101n,bn:00602412n
hernandez	bn:14657302n,bn:03202022n
schilling	bn:00007271n,bn:13830927n
andy pettitte	bn:03480222n
gagne	bn:03579690n
josh beckett	bn:02863543n
orlando hernandez	bn:03867146n
daisuke matsuzaka	bn:03277008n
david cone	bn:03127762n
washburn	bn:00238992n,bn:00374273n,bn:01957925n,bn:00467390n,bn:00593276n,bn:00291263n,bn:14728889n,bn:03579294n
john smoltz	bn:03113438n
lowe	bn:03135822n,bn:01977377n,bn:15502389n
hideo nomo	bn:01593454n
mike mussina	bn:00183690n
javier vazquez	bn:01914563n,bn:00195809n
clemens	bn:00019709n,bn:14057633n,bn:01584665n
david wells	bn:03471317n,bn:00149125n,bn:03656087n,bn:16987437n
roy halladay	bn:02485818n
greg maddux	bn:01064838n
burnett	bn:02292876n,bn:00014021n,bn:03852931n,bn:01613551n,bn:00594208n
curt schilling	bn:01757992n
colon	bn:03687668n,bn:03358989n,bn:00883061n,bn:00020705n,bn:00020704n,bn:03483744n,bn:00006425n,bn:00020701n,bn:00400317n,bn:00020703n,bn:16291877n,bn:02195932n,bn:00020702n,bn:02286555n,bn:03381390n,bn:17179791n,bn:03199572n,bn:11624056n,bn:00328557n,bn:02852605n,bn:02852536n,bn:14672751n,bn:03322499n
brad penny	bn:02757855n
beckett	bn:01798632n,bn:00009468n,bn:03366613n,bn:17352018n,bn:15296958n
randy johnson	bn:15729039n,bn:00706304n,bn:03105546n,bn:14177679n,bn:01260067n,bn:01316091n
finley	bn:03679017n,bn:00597154n,bn:15980769n,bn:00582445n,bn:00470502n
barry zito	bn:00664032n
jamie moyer	bn:00899318n
close links	
deal	bn:00206221n,bn:00025558n,bn:02574989n,bn:00025557n,bn:00025556n,bn:00025555n,bn:00025554n,bn:00422553n,bn:16163069n,bn:17020144n,bn:15687846n,bn:03511615n,bn:03534719n,bn:00014152n,bn:00025553n,bn:00008985n,bn:00008568n,bn:03406920n,bn:15882485n,bn:03605110n
alliance	bn:00594678n,bn:00725696n,bn:02860367n,bn:03168118n,bn:02941294n,bn:03406945n,bn:00390383n,bn:01427326n,bn:14855124n,bn:00459561n,bn:00348120n,bn:00002862n,bn:03489607n,bn:02395251n,bn:00002860n,bn:03140816n,bn:01217667n,bn:00002859n,bn:03544293n,bn:00741197n,bn:03142346n,bn:00002861n,bn:00002740n,bn:01216989n,bn:03735633n,bn:00406682n
the partnership	bn:00356187n,bn:15423347n
the agreement	bn:01268510n
struck a deal	
association	bn:03378582n,bn:14146654n,bn:00006539n,bn:10169198n,bn:02823915n,bn:00001755n,bn:00533203n,bn:03317670n,bn:03378609n,bn:16052626n,bn:00020039n,bn:00006541n,bn:00006540n,bn:00006545n,bn:00006544n,bn:00006543n,bn:00006542n
dealings	bn:00025569n,bn:00025568n,bn:00025567n
close relationship	bn:00045161n,bn:00000991n
discussion	bn:00027544n,bn:00027523n,bn:14596540n
working in partnership	
deliberation	bn:00026035n,bn:00026036n,bn:00014690n,bn:00026037n,bn:00001597n
signed a contract	
signed a deal	
tie-up	bn:00073907n,bn:00001755n
reach agreement	
conjunction	bn:00020110n,bn:00020657n,bn:01055470n,bn:00002742n,bn:00021884n,bn:00021882n,bn:00021883n
reached a deal	
sign an agreement	
working	bn:03201829n,bn:03264056n,bn:01720986n,bn:02653369n,bn:00081600n
join forces	
liaison	bn:00022117n,bn:00357977n,bn:00001735n
conversation	bn:00022349n,bn:00075966n,bn:01982567n,bn:15861614n,bn:00420460n
joined forces	
reached an agreement	
agreement	bn:00002089n,bn:00002087n,bn:15519080n,bn:00002088n,bn:00002086n,bn:00002090n,bn:00000726n
partnership	bn:00021286n,bn:00548129n,bn:16277440n,bn:00548224n,bn:01090673n,bn:00073910n,bn:00060822n,bn:00060821n,bn:00060823n,bn:00022811n,bn:00014160n,bn:01575730n,bn:17332891n
reach an agreement	
work	bn:03074655n,bn:00405500n,bn:17212776n,bn:00157422n,bn:00081581n,bn:15338434n,bn:10723124n,bn:00081569n,bn:00014138n,bn:00490227n,bn:16427360n,bn:00062309n,bn:00030625n,bn:00011767n,bn:01226676n,bn:00894737n,bn:02968850n,bn:02814948n,bn:15241750n,bn:00314548n,bn:17177879n,bn:01921517n,bn:00696158n,bn:01591644n,bn:15698870n,bn:00702561n,bn:00081570n,bn:00074791n,bn:00081568n,bn:01807025n,bn:16570740n,bn:00030616n
contract	bn:00021275n,bn:00022228n,bn:00022227n,bn:15284719n,bn:01024466n,bn:03115276n,bn:00022229n,bn:01100283n,bn:02273261n,bn:17125648n,bn:16167656n
memorandum of understanding	bn:00137194n
working relationship	
reached agreement	
venture	bn:00021286n,bn:00298079n,bn:00012576n,bn:00079764n,bn:00786195n,bn:00079765n,bn:09438686n,bn:01090673n,bn:00073910n,bn:00022811n,bn:00655585n,bn:00014160n,bn:00463837n,bn:00073240n
resume talks	
duet	bn:03657219n,bn:00029060n,bn:02299309n,bn:00012596n,bn:00023268n,bn:01451749n,bn:00029058n,bn:14362726n,bn:00029059n,bn:11301587n,bn:00868664n,bn:01431551n,bn:09402457n,bn:01343073n,bn:01524623n,bn:15930995n,bn:00216048n,bn:17217771n,bn:02664533n,bn:03467566n,bn:01398101n
held in conjunction	
joint venture	bn:03352515n,bn:00048382n
collaboration	bn:02516102n,bn:01275000n,bn:02276579n,bn:00020128n,bn:00020589n,bn:17368059n,bn:00941691n,bn:02947022n,bn:02387665n
became friends	
consultation	bn:00591706n,bn:00022091n,bn:01549007n,bn:00022092n,bn:01482334n,bn:00007099n
affiliate	bn:01022468n,bn:00001753n,bn:00001754n,bn:01086121n
co-operate	bn:00022452n
interview	bn:00047238n,bn:01819473n,bn:03455935n,bn:03715980n,bn:01482518n,bn:17349454n,bn:02520818n,bn:00571431n,bn:00007099n,bn:02056954n
merger	bn:01348316n,bn:01158657n,bn:00036926n,bn:03770179n,bn:00003203n
kenji	bn:03274183n,bn:00222762n,bn:01921169n,bn:00470475n,bn:02342492n
masahiro	bn:02965214n
takeshi	bn:03117168n,bn:01621445n,bn:16633524n,bn:03443188n
satoshi	bn:03235338n,bn:03216381n,bn:03242837n
yuki	bn:01917318n,bn:03148671n,bn:15948462n,bn:02638760n
atsushi	bn:01579541n
shigeru	bn:17184469n
ministry official	
tadashi	bn:14299088n
kazuo	bn:01946181n
koji	bn:03113739n,bn:00210933n,bn:00626763n,bn:00262184n
toshio	bn:01195995n
osamu	bn:01182714n
yuko	bn:00048515n
hiroshi	bn:01028301n,bn:01988836n,bn:03170155n,bn:15442613n
makoto	bn:02721206n,bn:02177593n,bn:16835027n,bn:03199901n,bn:00968323n,bn:15422771n
minoru	bn:01399492n,bn:01438958n
takashi	bn:17179813n
hiroyuki	bn:15854944n,bn:00289350n
yoshio	bn:02010276n
yutaka	bn:15344209n,bn:03296621n
people affected	
stricken	bn:14603328n,bn:15681545n,bn:03677986n
grip	bn:03198240n,bn:03284416n,bn:02340655n,bn:02929794n,bn:00524070n,bn:00001368n,bn:02897084n,bn:00041430n,bn:00007927n,bn:01497914n,bn:01333908n,bn:00041821n,bn:00041820n,bn:00019475n,bn:00011716n,bn:02822327n
taint	bn:00022136n,bn:00061603n,bn:03816669n,bn:00657824n
batter	bn:00071444n,bn:00009058n,bn:00298935n,bn:00006470n,bn:00009052n,bn:15888155n
torn apart	bn:03489228n,bn:03465101n,bn:02073034n
buffet	bn:00013680n,bn:00013681n,bn:00073879n,bn:00542644n,bn:00013679n
blight	bn:00011238n,bn:01877973n,bn:00011237n,bn:16202754n,bn:01742679n,bn:02644565n,bn:00998657n,bn:01667237n,bn:01812888n
plague	bn:17284511n,bn:00062742n,bn:00061779n,bn:00061778n,bn:03110717n,bn:00046658n,bn:00062741n,bn:01611733n,bn:00366919n,bn:03457573n,bn:01910370n
wrack	bn:01319999n,bn:00070004n,bn:00081671n,bn:00267578n,bn:00065839n,bn:16186582n
mar	bn:16244796n,bn:03037798n,bn:02767731n,bn:00011197n,bn:15211886n,bn:17224589n,bn:00053318n,bn:03734961n
andy schleck	bn:02453907n
frank schleck	bn:01730702n
new haven	bn:00376726n,bn:00234203n,bn:00057481n,bn:00244815n,bn:00591400n,bn:03334986n,bn:00516639n,bn:00589652n
haven	bn:03300039n,bn:02108368n,bn:00732283n,bn:02135411n,bn:15567802n,bn:03334630n,bn:03442579n,bn:02888638n,bn:03826033n,bn:01790010n,bn:14342020n,bn:03794622n,bn:02557214n,bn:02557221n,bn:00042918n,bn:01011487n,bn:00043169n,bn:00586208n,bn:03437710n,bn:16451134n,bn:14075011n,bn:03400635n
bridgeport	bn:00166520n,bn:03267645n,bn:03793352n,bn:16005544n,bn:00013094n,bn:00326703n,bn:03603716n,bn:00473278n,bn:03320917n,bn:00571162n,bn:01700448n,bn:00531603n,bn:00693088n,bn:00237423n,bn:00583066n,bn:03311349n,bn:00593626n,bn:00398522n
westport	bn:01070363n,bn:00594159n,bn:01920071n,bn:03526389n,bn:00583707n,bn:03667131n,bn:03243194n,bn:00245822n,bn:03423221n,bn:03243060n,bn:03895879n,bn:00997278n,bn:00495655n,bn:00547740n,bn:00458398n
stamford	bn:01920031n,bn:00162578n,bn:03110811n,bn:00729068n,bn:02371463n,bn:01316822n,bn:00395824n,bn:00576163n
greenwich	bn:00206133n,bn:14844602n,bn:03315034n,bn:17229742n,bn:02190869n,bn:02179815n,bn:01654727n,bn:00483042n,bn:03834848n,bn:00041734n
middletown	bn:00542617n,bn:00255572n,bn:03424285n,bn:00421967n,bn:00208647n,bn:00725159n,bn:00247761n,bn:01734424n,bn:00237911n,bn:00533042n,bn:03749446n,bn:00297212n,bn:00379834n,bn:00520225n,bn:00327906n,bn:14581488n,bn:03393357n,bn:02112711n,bn:00443194n,bn:16795322n,bn:00194274n
milford	bn:03133444n,bn:00597041n,bn:01639306n,bn:03315016n,bn:01946755n,bn:00420043n,bn:00208364n,bn:00273794n,bn:00245750n,bn:00725283n,bn:00560703n,bn:02349721n,bn:00403209n,bn:01946739n,bn:00400868n,bn:00374388n,bn:00235300n,bn:03138932n,bn:00571487n,bn:02454773n,bn:00534197n,bn:01949066n,bn:00739385n,bn:00255620n
fairfield	bn:16553196n,bn:03446294n,bn:00243643n,bn:10118376n,bn:00561242n,bn:03441847n,bn:03335304n,bn:03378556n,bn:02770545n,bn:02555748n,bn:00206107n,bn:00227793n,bn:16031345n,bn:02063253n,bn:01946978n,bn:00392321n,bn:00587023n,bn:03476721n,bn:00501980n,bn:01947005n,bn:03431025n,bn:00576835n,bn:03325318n,bn:00166915n,bn:03441717n,bn:00265540n,bn:00602737n,bn:03474766n,bn:00389473n,bn:00489505n,bn:00130007n,bn:00283132n
development	bn:00026693n,bn:00026695n,bn:00026697n,bn:00026696n,bn:00937984n,bn:00119089n,bn:00026699n,bn:00026698n,bn:00026700n,bn:00034481n,bn:00026701n,bn:00026702n,bn:03839259n,bn:03681044n
access	bn:03689806n,bn:01566206n,bn:02788474n,bn:02621309n,bn:03092500n,bn:00000666n,bn:00000665n,bn:00000664n,bn:02744817n,bn:00000663n,bn:00000662n,bn:00000661n,bn:03802532n,bn:02181098n,bn:00080118n,bn:01956339n,bn:03088252n
conference	bn:00447815n,bn:00021724n,bn:00021723n,bn:00021722n,bn:00021721n
education	bn:03656966n,bn:00012992n,bn:00029808n,bn:00029809n,bn:02872790n,bn:14625613n,bn:00026316n,bn:00029807n,bn:00983390n,bn:00026980n,bn:14198807n,bn:16720203n
business	bn:01871105n,bn:00786185n,bn:00014136n,bn:00014137n,bn:00014138n,bn:00014139n,bn:00014143n,bn:00014144n,bn:00014140n,bn:00014141n,bn:00014142n,bn:03830067n,bn:15140278n,bn:01582815n
project	bn:00064665n,bn:01740508n,bn:00049573n,bn:01231396n,bn:13316233n
centre	bn:00017129n,bn:03496557n,bn:02555632n,bn:03576614n,bn:03271050n,bn:01896010n,bn:03498472n,bn:00017130n,bn:16330657n,bn:00017122n,bn:00317176n,bn:00017120n,bn:00017132n,bn:00017126n,bn:00017215n,bn:00017124n,bn:03646517n,bn:15493557n,bn:02001565n,bn:02606873n,bn:03253371n,bn:00164637n,bn:00017133n,bn:02782560n,bn:00017123n,bn:13860973n,bn:00017204n,bn:00017125n
services	bn:00070671n,bn:00070677n
technology	bn:00005105n,bn:00491077n,bn:00030858n,bn:16779758n
issues	bn:01312965n,bn:15422968n,bn:02243819n,bn:03065990n,bn:01664315n
research	bn:00067280n,bn:01593545n,bn:03496948n,bn:02882954n,bn:01806631n,bn:00074790n,bn:02283068n,bn:00030952n
computer	bn:00014691n,bn:00021464n,bn:00483985n,bn:03557802n
system	bn:01012745n,bn:00069580n,bn:02437884n,bn:00059481n,bn:00073805n,bn:00325045n,bn:00005863n,bn:16974126n,bn:00075759n,bn:14207390n,bn:02205261n,bn:00351005n,bn:03010775n,bn:00075764n,bn:02720956n,bn:00075762n,bn:15125301n,bn:00075763n,bn:00075760n,bn:00075761n
management	bn:00053116n,bn:00027355n,bn:14889998n,bn:00786880n,bn:00001422n,bn:03835989n,bn:15274774n,bn:16519818n
school	bn:16563298n,bn:00028013n,bn:02487580n,bn:00026980n,bn:00000568n,bn:00069619n,bn:15911953n,bn:00079152n,bn:00441946n,bn:00069623n,bn:00069622n,bn:00069621n,bn:00069620n,bn:03036280n,bn:17263144n,bn:00069625n,bn:00069624n
safety	bn:17223900n,bn:02278445n,bn:00042045n,bn:01258263n,bn:01498380n,bn:00068799n,bn:00068800n,bn:00066856n,bn:16911668n,bn:00070219n,bn:15347571n,bn:00644796n,bn:00021666n,bn:03138054n,bn:00008798n
rights	bn:00067807n
information	bn:02830953n,bn:03620119n,bn:02233442n,bn:02776737n,bn:00046706n,bn:00046705n,bn:00025314n,bn:16842118n,bn:00046698n,bn:01468426n,bn:03662501n,bn:00031060n,bn:03644012n,bn:00993379n
problems	bn:01919846n,bn:15993025n,bn:00064526n,bn:00048242n
placer dome	bn:00148941n
corp	bn:02832685n,bn:00022811n
ingersoll rand	bn:16395312n,bn:02436065n
dome	bn:16961865n,bn:00263007n,bn:00028147n,bn:00028146n,bn:03306791n,bn:00024432n,bn:00023368n,bn:00007039n,bn:15394304n,bn:01523401n,bn:03215368n,bn:13858148n
viad corp	bn:03645286n
limited inc	bn:03347632n
rand	bn:03148409n,bn:03216375n,bn:00066130n,bn:01696712n,bn:00007549n,bn:15349941n,bn:15348870n,bn:00301983n,bn:00066129n
pac	bn:03813726n,bn:03775306n,bn:02486548n,bn:00060061n
ryerson tull	bn:03254613n
allegheny energy	bn:01916079n
newmont mining	bn:00221587n
stride rite	bn:03828844n
pet	bn:00061788n,bn:00061787n,bn:01794186n,bn:00025256n,bn:03661532n,bn:00061789n,bn:02802979n,bn:02274740n,bn:00280224n
ind	bn:03507460n,bn:03216745n
energy	bn:00172034n,bn:00462930n,bn:00014905n,bn:00241718n,bn:15178010n,bn:03745925n,bn:01286640n,bn:02260273n,bn:01226769n,bn:00030820n,bn:00030821n,bn:00030822n,bn:00030823n,bn:02296881n,bn:00498319n,bn:00030824n,bn:00030825n,bn:00991643n,bn:03307373n,bn:15043205n,bn:00080144n,bn:02205104n,bn:14348548n,bn:00026317n
inc	bn:00046254n
newell rubbermaid	bn:01468973n
rest	bn:02387380n,bn:00067373n,bn:00067372n,bn:00067374n,bn:03598203n,bn:03799604n,bn:00686780n,bn:00031686n,bn:00029457n,bn:16217581n,bn:00008047n,bn:00832403n,bn:00067037n
chem	
edison	bn:00586102n,bn:00029766n,bn:00969422n,bn:03836262n,bn:00449744n,bn:00395145n,bn:03280694n,bn:00220042n,bn:00485592n,bn:01360797n,bn:01238738n,bn:02123334n
pep boys	bn:03510266n
grp	bn:00034213n,bn:00701310n
mart	bn:00053461n,bn:02227670n,bn:03037798n,bn:00396096n,bn:00729238n
k mart	bn:01762892n
gp	bn:02124808n,bn:01975602n,bn:02724667n,bn:00037664n,bn:03174204n
dow jones	bn:03233138n,bn:00028458n
mining	bn:00681506n,bn:00055122n,bn:00032111n
duke energy	bn:00951393n
co	bn:00017119n,bn:03470358n,bn:00006857n,bn:01299692n,bn:00015870n,bn:00020105n
intl	bn:03086073n
oge energy	bn:00414939n
cp	bn:03670974n,bn:03352948n,bn:00128501n,bn:03339285n,bn:03327870n
alum	bn:00003165n,bn:00003164n,bn:00003163n,bn:00003162n,bn:03009187n
venator group	bn:02310661n
dole food	bn:03668800n
alaska air	bn:02004375n
avnet inc	bn:03217586n
gap inc	bn:16557511n
teco energy	bn:01008272n
rubbermaid	bn:01469062n,bn:02202787n
balustrade	bn:17339717n,bn:00008247n
door	bn:00028247n,bn:00034158n,bn:00028248n,bn:01891350n,bn:10505500n,bn:00028250n,bn:00028251n,bn:00028249n
the roof	bn:02088903n,bn:01056991n,bn:00313343n
the porch	bn:01358860n
chimney	bn:01874395n,bn:00018415n,bn:00018414n,bn:02219653n
stair	bn:00073848n,bn:00758009n
bell tower	bn:01772196n,bn:00009764n,bn:00764122n,bn:00009703n,bn:00137846n,bn:01903248n,bn:00239339n
mast	bn:03226508n,bn:00053708n,bn:00053709n,bn:00676281n,bn:00053706n,bn:00974775n,bn:00118096n,bn:00053707n
deck	bn:00013085n,bn:00077650n,bn:00025721n,bn:00025722n,bn:00025720n,bn:00025719n,bn:03814498n,bn:00062958n,bn:00057551n,bn:00011679n,bn:14518036n,bn:00050348n,bn:00071023n
ledge	bn:00050497n
facade	bn:02903220n,bn:16191664n,bn:01512668n,bn:00032599n,bn:00857088n,bn:00032598n,bn:00893710n
parapet	bn:00012964n,bn:00060601n
front porch	bn:01721811n,bn:00036638n,bn:01068432n
dome	bn:16961865n,bn:00263007n,bn:00028147n,bn:00028146n,bn:03306791n,bn:00024432n,bn:00023368n,bn:00007039n,bn:15394304n,bn:01523401n,bn:03215368n,bn:13858148n
balcony	bn:00008079n,bn:00008080n
canopy	bn:00015332n,bn:00015334n,bn:00015333n,bn:15897935n,bn:14403361n,bn:00073868n,bn:02829019n,bn:16613751n,bn:03443287n,bn:02315791n
portico	bn:00063677n,bn:15782719n
frieze	bn:01506875n,bn:00036552n,bn:00036553n,bn:03207076n
steeple	bn:00073427n,bn:03502909n
railing	bn:15085059n,bn:13849694n,bn:00066019n,bn:00066008n
pavilion	bn:00053510n,bn:00561031n,bn:16117119n,bn:00007190n,bn:03282712n,bn:01766447n,bn:02235651n
spire	bn:00073427n,bn:01009817n,bn:03816915n,bn:16557305n,bn:13990378n,bn:02334268n,bn:01205674n
gable	bn:03570112n,bn:00036976n,bn:00019466n
brick	bn:02110094n,bn:03195956n,bn:02652338n,bn:03208687n,bn:00200745n,bn:03692225n,bn:02669704n,bn:00075616n,bn:01853944n,bn:02143542n,bn:15982777n,bn:00456232n,bn:00013048n,bn:00013047n,bn:03140163n
entrance	bn:00510622n,bn:02481403n,bn:01836281n,bn:00000663n,bn:16239958n,bn:00030989n,bn:00031044n,bn:00030988n,bn:13841116n
floor	bn:03701486n,bn:03340872n,bn:00035310n,bn:00035312n,bn:00035311n,bn:00035307n,bn:00035306n,bn:00035305n,bn:00035304n,bn:10214449n,bn:00035309n,bn:00035308n,bn:00984330n,bn:00008785n
staircase	bn:00334321n,bn:00336901n,bn:00073851n,bn:01322600n,bn:02763561n
tower	bn:00537672n,bn:02423945n,bn:00077760n,bn:00077766n,bn:02911134n,bn:15057963n,bn:00020824n,bn:00676864n,bn:03332954n,bn:02046240n,bn:00022304n,bn:02464132n,bn:03707877n,bn:03236839n,bn:03739331n,bn:03153573n
the windows	
veranda	bn:02988571n,bn:00037100n
roof	bn:00068222n,bn:16855293n,bn:00068221n,bn:00068220n,bn:17265156n,bn:00150169n,bn:00015404n
ceiling	bn:00016974n,bn:00016975n,bn:00015404n,bn:00016976n
porch	bn:00063608n,bn:01721811n,bn:00004493n,bn:15088633n,bn:03852654n
turret	bn:00078699n,bn:03698090n,bn:03123538n,bn:02910472n,bn:02338646n,bn:00042232n,bn:00371534n,bn:00713319n
skylight	bn:02670912n,bn:00190481n,bn:16302449n,bn:00033635n,bn:14175239n
doorway	bn:00028247n,bn:00028248n
arcade	bn:03406509n,bn:00390764n,bn:02664441n,bn:01976479n,bn:16138177n,bn:03279573n,bn:00005374n,bn:00005373n,bn:01944947n,bn:03732971n,bn:01380615n,bn:00649540n,bn:00151594n,bn:00222640n,bn:01157250n
pillar	bn:00020826n,bn:00020827n,bn:00062404n,bn:00052863n,bn:00020824n,bn:02346219n,bn:16927150n,bn:03806969n,bn:14760349n
